name,latitude_deg,longitude_deg,country,municipality,iata_code
Lanzhou Air Base,35.917801,104.218002,CN,Lanzhou (Yuzhong),
Lintao Air Base,35.3083,103.835999,CN,Dingxi (Lintao),
Qingshui Air Base,39.554699,98.884201,CN,Jiuquan (Suzhou),
Tianshui Maijishan Airport,34.5601,105.860343,CN,Tianshui (Maiji),THQ
Ürümqi South Air Base,43.466593,87.531177,CN,Ürümqi,
Uxxaktal Air Base,42.1814,87.188103,CN,"Hoxud, Bayingolin",
Wugong Air Base,34.275907,108.2658,CN,Xianyang (Wugong),
Ürümqi Changji Air Base,43.951175,87.079232,CN,Ashilixiang,
Wuwei Air Base,37.9883,102.567001,CN,Wuwei,
Xi'an Air Base,34.153059,108.599739,CN,Xi'an (Huyi),
Xincheng Air Base,25.5483,114.619003,CN,Ganzhou,
Yaerbashi Test Range,43.077202,92.808098,CN,"Yizhou, Hami",
Yanliang Air Base,34.642248,109.241867,CN,Xi'an (Yanliang),
Daishan Air Base,30.287581,122.144401,CN,Zhoushan,
Feidong Air Base,31.909401,117.658997,CN,Hefei,
Fuzhou Air Base,26.0044,119.311996,CN,Fuzhou,
Huian Air Base,25.026100158691406,118.80699920654295,CN,,
Hangzhou Jianqiao Airport,30.3353,120.240997,CN,Hangzhou,
Jiaxing Airport / Jiaxing Air Base,30.705535,120.679779,CN,"Xiuzhou, Hangzhou",
Longtian Air Base,25.5728,119.459999,CN,Fuzhou (Fuqing),
Nanchang Xiangtang Air Base,28.421205,115.923375,CN,Nanchang,
Ningbo Zhuangqiao Air Base,29.9228,121.573997,CN,Ningbo,
Shanghai Dachang Air Base,31.324438,121.409508,CN,Shanghai (Baoshan),
Wuhan Hannan Municipal Airport,30.25521,114.062805,CN,Wuhan (Hannan),WHN
Zhangshu Air Base,28.023283,115.549649,CN,Yichun,
Changchun Air Base,43.9053,125.197998,CN,Changchun,
Beijing Nanjiao Airport,39.48595,116.37236,CN,Beijing,NAY
Dandong Langtou Airport,40.025453,124.28669,CN,Dandong (Zhenxing),DDG
Dingxin-Shuangchengzi Air Base,40.401402,99.789398,CN,Jiuquan (Jinta),
Fuxin Air Base,42.078899,121.662003,CN,"Xihe, Fuxin",
Gongzhuling Air Base,43.526293,124.78466,CN,Siping,
Kaiyuan Air Base,42.525799,123.982002,CN,"Qinghe, Tieling",
Lalin Air Base,45.259457,126.893536,CN,Harbin,
Pingquan Air Base,40.900409,118.677878,CN,Chengde,
Shenyang Beiling Air Base,41.8708,123.439003,CN,"Huanggu, Shenyang",
Shenyang Yuhong Quansheng Airport,41.822498,123.299004,CN,"Yuhong, Shenyang",
Siping Air Base,43.156898,124.292,CN,Siping,
Suizhong Air Base,40.298992,120.36152,CN,Huludao (Suizhong),
Tuchengzi Air Base,38.912201,121.238998,CN,Dalian (Lüshunkou),
Rikaze Dingri Airport,28.604567,86.798,CN,Xigazê (Dingri),DDR
Tashikuergan Hongqilafu Airport,37.661333,75.288877,CN,Tashikuergan,HQL
Chenghu General Airport,31.215334,120.789328,CN,Suzhou,
Liyang Tianmuhu General Airport,31.53904,119.502554,CN,Changzhou,
Anji Tianzihu General Airport,30.797725,119.590287,CN,Anji,
Jiuzhou Airport,26.998259,107.759571,CN,Jiuzhou,
Paozhuwan Air Base,30.673944,114.63089,CN,Wuhan (Xinzhou),
Shanpo Air Base,30.087612,114.31366,CN,Wuhan,
Zhanjiang Wuchuan Airport,21.481667,110.590278,CN,Zhanjiang,ZHA
Ali Pulan Airport,30.3975,81.138611,CN,Burang Town,APJ
Shaodong Airport,27.2235,111.6741,CN,Shaoyang (Shaodong),
Ningxiang,27.987589,112.604971,CN,,
Sanshilipu Air Base,39.289671,121.762195,CN,Dalian (Jinzhou),
Nantong Xingdong International Airport,32.073566,120.980076,CN,Nantong (Tongzhou),NTG
Brampton-Caledon Airport,43.7603,-79.875,CA,,
Lefkoniko Airport / Geçitkale Air Base,35.23591,33.720088,CY,Lefkoniko (Geçitkale),GEC
Fort Frances Municipal Airport,48.655749,-93.44349,CA,Fort Frances,YAG
La Grande-4 Airport,53.754699707,-73.6753005981,CA,La Grande-4,YAH
Sault Ste Marie Airport,46.483216,-84.508467,CA,Sault Ste Marie,YAM
Kasabonika Airport,53.52470016479492,-88.6427993774414,CA,Kasabonika,XKS
Winnipeg / St. Andrews Airport,50.0564,-97.032501,CA,Winnipeg/Saint Andrews,
Lac Du Bonnet Airport,50.294399,-96.010002,CA,Lac Du Bonnet,
St. Anthony Airport,51.391909,-56.08321,CA,St. Anthony,YAY
Tofino / Long Beach Airport,49.079833,-125.775583,CA,Tofino,YAZ
Baie-Comeau Airport,49.1325,-68.204399,CA,Baie-Comeau,YBC
Bella Coola Airport,52.387501,-126.596001,CA,Bella Coola,QBC
Bonnyville Airport,54.304199,-110.744003,CA,Bonnyville,YBY
CFB Bagotville / Saguenay-Bagotville Airport,48.331908,-70.992909,CA,La Baie,YBG
Baker Lake Airport,64.29889678960001,-96.077796936,CA,Baker Lake,YBK
Campbell River Airport,49.950802,-125.271004,CA,Campbell River,YBL
Brandon Municipal Airport,49.91,-99.951897,CA,Brandon,YBR
Nipawin Airport,53.33250045776367,-104.00800323486328,CA,Nipawin,
Calgary / Springbank Airport,51.1031,-114.374001,CA,Calgary,
Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,CA,Blanc-Sablon,YBX
Cambridge Bay Airport,69.1081008911,-105.138000488,CA,Cambridge Bay,YCB
Cornwall Regional Airport,45.092637,-74.567724,CA,Cornwall,YCC
Nanaimo Airport,49.05497,-123.869863,CA,Nanaimo,YCD
Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,CA,Huron Park,YCE
Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,CA,Castlegar,YCG
Miramichi Airport,47.007801,-65.449203,CA,Miramichi,YCH
Charlo Airport,47.990799,-66.330299,CA,Charlo,YCL
Cochrane Airport,49.10559844970703,-81.01360321044922,CA,Cochrane,YCN
Blue River Airport,52.11669921875,-119.28299713134766,CA,Blue River,
Chetwynd Airport,55.687198638916016,-121.6269989013672,CA,Chetwynd,YCQ
Dawson City Airport,64.04309844970703,-139.1280059814453,CA,Dawson City,YDA
Burwash Airport,61.371101,-139.041,CA,Burwash Landing,YDB
Deer Lake Airport,49.2108,-57.391399,CA,Deer Lake,YDF
Ross River Airport,61.9706001282,-132.42300415,CA,Ross River,XRR
Dauphin Barker Airport,51.1008,-100.052002,CA,Dauphin,YDN
Dolbeau-Saint-Felicien Airport,48.7785,-72.375,CA,Dolbeau-Saint-Felicien,YDO
Dawson Creek Airport,55.741245,-120.183263,CA,Dawson Creek,YDQ
Huronia Airport,44.6833000183,-79.9282989502,CA,Midland,
Edmonton International Airport,53.3097,-113.580002,CA,Edmonton,YEG
Elliot Lake Municipal Airport,46.351398468,-82.5614013672,CA,Elliot Lake,YEL
Manitoulin East Municipal Airport,45.842435,-81.857595,CA,Sheguiandah,YEM
Estevan Airport,49.2103004456,-102.966003418,CA,Estevan,YEN
Edson Airport,53.578899383499994,-116.464996338,CA,Edson,YET
Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,CA,Inuvik,YEV
Amos/Magny Airport,48.563903,-78.249702,CA,Amos,YEY
Iqaluit Airport,63.756402,-68.555801,CA,Iqaluit,YFB
Fredericton Airport,45.868900299072266,-66.53720092773438,CA,Fredericton,YFC
Forestville Airport,48.74610137939453,-69.09719848632812,CA,Forestville,YFE
Mont-Tremblant International Airport,46.409401,-74.779999,CA,La Macaza,YTM
Fort Resolution Airport,61.1808013916,-113.690002441,CA,Fort Resolution,YFR
Fort Simpson Airport,61.76020050048828,-121.23699951171876,CA,Fort Simpson,YFS
Goderich Airport,43.7668991089,-81.7106018066,CA,Goderich,
Golden Airport,51.299196,-116.982002,CA,Golden,
Kingston Norman Rogers Airport,44.2253,-76.596901,CA,Kingston,YGK
La Grande Rivière Airport,53.625301361083984,-77.7042007446289,CA,La Grande Rivière,YGL
Gimli Industrial Park Airport,50.62810134887695,-97.04329681396484,CA,Gimli,YGM
Michel-Pouliot Gaspé Airport,48.774915,-64.481893,CA,Gaspé,YGP
Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828,CA,Geraldton,YGQ
Îles-de-la-Madeleine Airport,47.425242,-61.778612,CA,Les Îles-de-la-Madeleine,YGR
Havre-Saint-Pierre Airport,50.281898,-63.611401,CA,Havre-Saint-Pierre,YGV
Kuujjuarapik Airport,55.28189849853515,-77.76529693603516,CA,Kuujjuarapik,YGW
Dryden Regional Airport,49.831699,-92.744202,CA,Dryden,YHD
Hearst René Fontaine Municipal Airport,49.71419906616211,-83.68609619140625,CA,Hearst,YHF
John C. Munro Hamilton International Airport,43.173599243199995,-79.93499755859999,CA,Hamilton,YHM
Hornepayne Municipal Airport,49.19309997558594,-84.75890350341797,CA,Hornepayne,YHN
Haines Junction Airport,60.7892,-137.546005,CA,Haines Junction,YHT
Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348,CA,Montréal,YHU
Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,CA,Hay River,YHY
Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,CA,Halifax,YHZ
Atikokan Municipal Airport,48.7738990784,-91.6386032104,CA,Atikokan,YIB
Digby / Annapolis Regional Airport,44.5458450365,-65.7854247093,CA,Digby,YDG
St Augustin Airport,51.2117,-58.658298,CA,St-Augustin,YIF
Island Lake Airport,53.857200622558594,-94.65360260009766,CA,Island Lake,YIV
Fort Liard Airport,60.2358016968,-123.46900177,CA,Fort Liard,YJF
St Jean Airport,45.29439926147461,-73.28109741210938,CA,St Jean,YJN
Dymond Airport,48.544201,-58.549999,CA,Stephenville,YJT
Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641,CA,Kamloops,YKA
Region of Waterloo International Airport,43.4608,-80.378601,CA,Breslau,YKF
Key Lake Airport,57.256099700927734,-105.61799621582033,CA,Key Lake,YKJ
Schefferville Airport,54.805301666259766,-66.8052978515625,CA,Schefferville,YKL
Kincardine Municipal Airport,44.201401,-81.606697,CA,Kincardine,YKD
Kirkland Lake Airport,48.21030044555664,-79.98139953613281,CA,Kirkland Lake,YKX
Kindersley Airport,51.5175018311,-109.180999756,CA,Kindersley,YKY
Chapleau Airport,47.81999969482422,-83.3467025756836,CA,Chapleau,YLD
Meadow Lake Airport,54.125301361083984,-108.52300262451172,CA,Meadow Lake,YLJ
Lloydminster Airport,53.3092,-110.072998,CA,Lloydminster,YLL
Leaf Rapids Airport,56.513301849365234,-99.98529815673828,CA,Leaf Rapids,YLR
Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663,CA,Barrie,YLK
Alert Airport,82.517799,-62.280602,CA,Alert,YLT
Kelowna International Airport,49.9561,-119.377998,CA,Kelowna,YLW
Mayo Airport,63.61640167236328,-135.8679962158203,CA,Mayo,YMA
Matane Airport,48.85689926147461,-67.45330047607422,CA,Matane,YME
Manitouwadge Airport,49.08390045166016,-85.86060333251953,CA,Manitouwadge,YMG
Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,CA,Moose Jaw,YMJ
Charlevoix Airport,47.59749984741211,-70.2238998413086,CA,Charlevoix,YML
Fort McMurray Airport,56.653301239,-111.222000122,CA,Fort McMurray,YMM
Moosonee Airport,51.29109954833984,-80.60780334472656,CA,Moosonee,YMO
Chapais Airport,49.77190017700195,-74.5280990600586,CA,Chibougamau,YMT
Montreal International (Mirabel) Airport,45.679501,-74.038696,CA,Montréal,YMX
Natashquan Airport,50.190114,-61.78898,CA,Natashquan,YNA
Ottawa / Gatineau Airport,45.521702,-75.563599,CA,Gatineau,YND
Langley Airport,49.1008,-122.630997,CA,Langley,YLY
Points North Landing Airport,58.27669906616211,-104.08200073242188,CA,Points North Landing,YNL
Matagami Airport,49.76169967651367,-77.80280303955078,CA,Matagami,YNM
Nejanilini Lake Airport,59.4874992371,-97.7802963257,CA,Nejanilini Lake,
Ekati Airport,64.6988983154,-110.614997864,CA,Ekati,YOA
CFB Cold Lake,54.404998779296875,-110.27899932861328,CA,Cold Lake,YOD
High Level Airport,58.62139892578125,-117.16500091552734,CA,High Level,YOJ
Oshawa Executive Airport,43.922798,-78.894997,CA,Oshawa,YOO
Rainbow Lake Airport,58.491402,-119.407997,CA,Rainbow Lake,YOP
Owen Sound / Billy Bishop Regional Airport,44.5903015137,-80.8375015259,CA,Owen Sound,YOS
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,CA,Ottawa,YOW
Prince Albert Glass Field,53.2141990662,-105.672996521,CA,Prince Albert,YPA
Port Hawkesbury Airport,45.6567001343,-61.3680992126,CA,Port Hawkesbury,YPS
Peace River Airport,56.226898,-117.446999,CA,Peace River,YPE
Portage-la-Prairie / Southport Airport,49.903099,-98.273817,CA,Portage la Prairie,YPG
Pitt Meadows Airport,49.216099,-122.709999,CA,Pitt Meadows,
